sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
tennis,official_sam3_video_mask_only,官方 SAM3 单 prompt 视频分割,direction_a,mask_only,exploratory,legacy,,,,,0.8796,1.0000,0.9154,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3.csv,/data3/jli657/project3/part3/outputs/official_sam3_video/masks/tennis,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/official_sam3_video_mask_only,这是最直接的官方 SAM3 文本 prompt 版本，一条 prompt 直接做视频分割。,它证明了官方 SAM3 能跑通，但单 prompt 版本不是最终最强方案。
bmx-trees,official_sam3_video_mask_only,官方 SAM3 单 prompt 视频分割,direction_a,mask_only,exploratory,legacy,,,,,0.5193,0.7250,0.4782,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3.csv,/data3/jli657/project3/part3/outputs/official_sam3_video/masks/bmx-trees,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/official_sam3_video_mask_only,这是最直接的官方 SAM3 文本 prompt 版本，一条 prompt 直接做视频分割。,它证明了官方 SAM3 能跑通，但单 prompt 版本不是最终最强方案。
blackswan,official_sam3_video_mask_only,官方 SAM3 单 prompt 视频分割,direction_a,mask_only,exploratory,legacy,,,,,0.9543,1.0000,0.9169,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3.csv,/data3/jli657/project3/part3/outputs/official_sam3_video/masks/blackswan,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/official_sam3_video_mask_only,这是最直接的官方 SAM3 文本 prompt 版本，一条 prompt 直接做视频分割。,它证明了官方 SAM3 能跑通，但单 prompt 版本不是最终最强方案。
car-shadow,official_sam3_video_mask_only,官方 SAM3 单 prompt 视频分割,direction_a,mask_only,exploratory,legacy,,,,,0.9008,1.0000,0.8406,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3.csv,/data3/jli657/project3/part3/outputs/official_sam3_video/masks/car-shadow,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/official_sam3_video_mask_only,这是最直接的官方 SAM3 文本 prompt 版本，一条 prompt 直接做视频分割。,它证明了官方 SAM3 能跑通，但单 prompt 版本不是最终最强方案。
horsejump-low,official_sam3_video_mask_only,官方 SAM3 单 prompt 视频分割,direction_a,mask_only,exploratory,legacy,,,,,0.7281,1.0000,0.7852,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3.csv,/data3/jli657/project3/part3/outputs/official_sam3_video/masks/horsejump-low,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/official_sam3_video_mask_only,这是最直接的官方 SAM3 文本 prompt 版本，一条 prompt 直接做视频分割。,它证明了官方 SAM3 能跑通，但单 prompt 版本不是最终最强方案。
tennis,official_sam3_best_mask_only,官方 SAM3 best-prompt 版本,direction_a,mask_only,exploratory,legacy,,,,,0.8824,1.0000,0.9184,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3_best.csv,/data3/jli657/project3/part3/outputs/official_sam3_best/masks/tennis,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/official_sam3_best_mask_only,这是官方 SAM3 的调过 prompt 版本，用来回答“只换 prompt 能不能变好”。,它说明 prompt 确实重要，但仅靠 prompt 调整还不够。
bmx-trees,official_sam3_best_mask_only,官方 SAM3 best-prompt 版本,direction_a,mask_only,exploratory,legacy,,,,,0.5175,0.7250,0.4732,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3_best.csv,/data3/jli657/project3/part3/outputs/official_sam3_best/masks/bmx-trees,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/official_sam3_best_mask_only,这是官方 SAM3 的调过 prompt 版本，用来回答“只换 prompt 能不能变好”。,它说明 prompt 确实重要，但仅靠 prompt 调整还不够。
blackswan,official_sam3_best_mask_only,官方 SAM3 best-prompt 版本,direction_a,mask_only,exploratory,legacy,,,,,0.9548,1.0000,0.9198,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3_best.csv,/data3/jli657/project3/part3/outputs/official_sam3_best/masks/blackswan,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/official_sam3_best_mask_only,这是官方 SAM3 的调过 prompt 版本，用来回答“只换 prompt 能不能变好”。,它说明 prompt 确实重要，但仅靠 prompt 调整还不够。
car-shadow,official_sam3_best_mask_only,官方 SAM3 best-prompt 版本,direction_a,mask_only,exploratory,legacy,,,,,0.9008,1.0000,0.8406,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3_best.csv,/data3/jli657/project3/part3/outputs/official_sam3_best/masks/car-shadow,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/official_sam3_best_mask_only,这是官方 SAM3 的调过 prompt 版本，用来回答“只换 prompt 能不能变好”。,它说明 prompt 确实重要，但仅靠 prompt 调整还不够。
horsejump-low,official_sam3_best_mask_only,官方 SAM3 best-prompt 版本,direction_a,mask_only,exploratory,legacy,,,,,0.7281,1.0000,0.7852,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_official_sam3_best.csv,/data3/jli657/project3/part3/outputs/official_sam3_best/masks/horsejump-low,,,/data3/jli657/project3/part3/direction_a/run_official_sam3_video.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/official_sam3_best_mask_only,这是官方 SAM3 的调过 prompt 版本，用来回答“只换 prompt 能不能变好”。,它说明 prompt 确实重要，但仅靠 prompt 调整还不够。
tennis,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,0.9468,1.0000,0.9703,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_sam3_multiobj_final.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/tennis,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/tennis/tennis/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/tennis/tennis/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
bmx-trees,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,0.6308,0.8500,0.6711,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_sam3_multiobj_final.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/bmx-trees,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
blackswan,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,0.9546,1.0000,0.9197,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_sam3_multiobj_final.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/blackswan,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
car-shadow,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,0.8910,1.0000,0.8163,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_sam3_multiobj_final.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/car-shadow,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
horsejump-low,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,0.8574,1.0000,0.8356,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_sam3_multiobj_final.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/horsejump-low,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
koala,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,0.9482,1.0000,0.7833,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_sam3_multiobj_final.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/koala,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/koala/koala/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/koala/koala/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/koala/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
wild_video-1person,sam3_multiobj_mask_only,SAM3 multi-object 联合 prompt mask,direction_a,mask_only,stable,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/wild_video-1person,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/wild_video-1person/wild_video-1person/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/wild_video-1person/wild_video-1person/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/sam3_multiobj_mask_only,这是 Part3 Direction A 的主力版本：多个 prompt 一起提示，再把所有对象的 mask 取并集。,这是目前 Direction A 最有代表性的 SAM3 路线之一。
tennis,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,33.5709,8.5654,nan,70,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,/data3/jli657/project3/part3/results/evaluation_summary.csv,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/tennis,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/tennis/tennis/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/tennis/tennis/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
bmx-trees,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/bmx-trees,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
blackswan,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/blackswan,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
car-shadow,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/car-shadow,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
horsejump-low,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/horsejump-low,,,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
koala,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/koala,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/koala/koala/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/koala/koala/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/koala/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
wild_video-1person,sam3_multiobj_propainter_full_pipeline,SAM3 multi-object + ProPainter 完整流程,direction_a,full_pipeline,stable,legacy,,,,,,,,,,,,,完整流程结果，适合看最终效果，但要能拆回 mask 和 inpaint。,,/data3/jli657/project3/part3/outputs/sam3_multiobj/masks_final/wild_video-1person,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/wild_video-1person/wild_video-1person/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_multiobj/propainter/wild_video-1person/wild_video-1person/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_sam3_multiobject.py,/data3/jli657/project3/part3/configs/prompt_scope.yaml,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/sam3_multiobj_propainter_full_pipeline,这是把 SAM3 multi-object mask 接到 ProPainter 后的完整视频结果。,它代表了 Direction A 在最终视频上的主要交付版本。
tennis,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.7860,0.9571,0.8083,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_part3_sam3_rebuild_v1.csv,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/tennis,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/tennis/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/tennis/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/tennis/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
bmx-trees,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,0.4690,0.4375,0.5424,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/results_part3_sam3_rebuild_v1.csv,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/bmx-trees,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bmx-trees/masked_in.mp4,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/propainter/davis5/bmx-trees/inpaint_out.mp4,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
blackswan,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/blackswan,,,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/blackswan/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
car-shadow,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/car-shadow,,,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/car-shadow/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
horsejump-low,sam3_rebuild_v1_mask_only,SAM3 rebuild v1 mask,direction_a,mask_only,exploratory,legacy,,,,,,,,,,,,,只看 mask，不应直接和 inpaint 视频指标混排。,,/data3/jli657/project3/part3/outputs/sam3_rebuild_v1/masks/davis5/horsejump-low,,,/data3/jli657/project3/part3/direction_a/run_part3_sam3_rebuild.py,/data3/jli657/project3/part3/configs/sam3_rebuild_mainline_davis5.yaml,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/sam3_rebuild_v1_mask_only,这是后来重建的一条 SAM3 主线，和 multi-object 不是完全同一个产物来源。,它是重要的重建实验，但不是所有序列最终都用它。
